phone,axes,first_with,with_without,first_without
r,Dark - Luminous,+++2.19e-164,+++4.72e-168,+++5.022e-09
r,Difficult - Easy,+++1.064e-49,+++2.787e-122,+++2.45e-21
r,Evil - Benign,+++2.442e-213,+++3.551e-189,+++6.082e-18
r,Faded - Bright,0.2927,+++6.972e-115,+++2.041e-254
r,Feeble - Strong,+++2.075e-15,+++2.366e-69,+++6.235e-42
r,Masculine - Feminine,+++1.574e-109,+++2.746e-57,+++5.666e-51
r,Passive - Active,+++1.085e-91,+++3.776e-34,+++2.428e-57
r,Quiet - Loud,+++4.014e-22,+++4.515e-48,+++4.202e-07
r,Rough - Tender,+++5.007e-231,+++6.06e-232,+++4.421e-21
r,Sad - Joyful,0.1395,+++6.611e-15,+++4.981e-44
r,Short - Long,0.04133,+++8.627e-42,+++6.408e-63
r,Slow - Quick,+++6.631e-124,+++9.862e-34,+++1.111e-118
r,Small - Big,+++1.702e-66,+++3.3e-52,+++5.671e-11
r,Smooth - Rough_or_not_smooth,+++8.211e-09,+++5.064e-18,++0.001084
r,Ugly - Beautiful,+++1.233e-44,+++6.405e-65,0.02378
ɾ,Angular - Round,1.0,0.02882,1.0
ɾ,Bad - Good,1.0,+++1.717e-50,1.0
ɾ,Cold - Hot,1.0,0.117,1.0
ɾ,Complex - Simple,1.0,+++8.447e-07,1.0
ɾ,Cowardly - Brave,1.0,++0.002294,1.0
ɾ,Dangerous - Secure,1.0,+++4.103e-165,1.0
ɾ,Dark - Luminous,1.0,+++2.047e-51,1.0
ɾ,Difficult - Easy,1.0,+++0.0,1.0
ɾ,Evil - Benign,1.0,+++1.02e-13,1.0
ɾ,Faded - Bright,1.0,+++5.767e-108,1.0
ɾ,Feeble - Strong,1.0,+++0.0,1.0
ɾ,Masculine - Feminine,1.0,+++9.538e-18,1.0
ɾ,Passive - Active,1.0,+++0.0,1.0
ɾ,Quiet - Loud,1.0,0.01541,1.0
ɾ,Rough - Tender,1.0,+++1.167e-90,1.0
ɾ,Sad - Joyful,1.0,+++2.399e-187,1.0
ɾ,Short - Long,1.0,+++1.122e-221,1.0
ɾ,Slow - Quick,1.0,+++0.0,1.0
ɾ,Small - Big,1.0,+++3.766e-92,1.0
ɾ,Smooth - Rough_or_not_smooth,1.0,+++1.929e-13,1.0
ɾ,Ugly - Beautiful,1.0,+++2.294e-07,1.0
s,Angular - Round,+++6.845e-15,+++0.0,+++4.273e-25
s,Bad - Good,+++9.173e-20,+++0.0,+++4.2e-126
s,Cold - Hot,0.1941,+++5.771e-27,+++4.316e-05
s,Complex - Simple,+++3.42e-25,+++0.0,+++3.995e-60
s,Cowardly - Brave,+++3.351e-29,+++0.0,+++7.348e-115
s,Dangerous - Secure,+++1.496e-65,+++0.0,+++1.809e-26
